TicketID,Category,Priority,CreatedDateTime,ResolvedDateTime,SLA_Hours,ResolutionTime_Hours,SLA_Breach,Customer_Satisfaction,Escalated,Agent
1,Feature Request,Critical,2023-04-13 19:28:00,2023-04-14 10:28:00,24,15,No,3,Yes,Bob
2,Payment Problems,Critical,2023-03-13 20:38:00,2023-03-17 07:38:00,24,83,Yes,3,No,Diana
3,Login Issues,Critical,2023-03-29 20:35:00,2023-04-03 04:35:00,24,104,Yes,3,No,Ethan
4,Account Management,Critical,2023-05-30 20:01:00,2023-06-03 12:01:00,24,88,Yes,4,Yes,Diana
5,Login Issues,Low,2023-06-07 05:01:00,2023-06-09 21:01:00,48,64,Yes,4,Yes,Bob
6,Feature Request,Critical,2023-01-21 00:11:00,2023-01-23 10:11:00,24,58,Yes,5,Yes,Ethan
7,Feature Request,Critical,2023-03-30 16:26:00,2023-04-02 03:26:00,24,59,Yes,2,No,Ethan
8,Bug/Error,Low,2023-01-15 14:50:00,2023-01-20 02:50:00,48,108,Yes,4,No,Diana
9,Feature Request,Critical,2023-03-05 02:36:00,2023-03-07 05:36:00,24,51,Yes,5,Yes,Bob
10,Login Issues,Medium,2023-03-14 06:17:00,2023-03-14 10:17:00,48,4,No,1,Yes,Diana
11,Feature Request,Low,2023-03-01 13:49:00,2023-03-01 22:49:00,48,9,No,2,No,Ethan
12,Login Issues,Critical,2023-02-22 01:19:00,2023-02-25 21:19:00,24,92,Yes,4,Yes,Alice
13,Account Management,Medium,2023-06-21 07:46:00,2023-06-22 18:46:00,48,35,No,1,No,Diana
14,Feature Request,Critical,2023-06-13 17:39:00,2023-06-13 21:39:00,24,4,No,2,Yes,Alice
15,Feature Request,Low,2023-05-14 21:41:00,2023-05-15 01:41:00,48,4,No,5,Yes,Bob
16,Login Issues,Medium,2023-05-26 11:33:00,2023-05-29 13:33:00,48,74,Yes,4,No,Alice
17,Bug/Error,Low,2023-01-14 15:14:00,2023-01-17 15:14:00,48,72,Yes,4,Yes,Diana
18,Bug/Error,Low,2023-02-09 20:15:00,2023-02-14 09:15:00,48,109,Yes,2,Yes,Bob
19,Payment Problems,Medium,2023-04-21 20:23:00,2023-04-22 22:23:00,48,26,No,1,Yes,Alice
20,Feature Request,Medium,2023-05-04 12:40:00,2023-05-05 17:40:00,48,29,No,5,Yes,Diana
21,Bug/Error,High,2023-03-06 06:08:00,2023-03-09 22:08:00,24,88,Yes,1,Yes,Diana
22,Account Management,High,2023-05-16 23:10:00,2023-05-21 18:10:00,24,115,Yes,1,No,Alice
23,Account Management,Critical,2023-05-16 02:34:00,2023-05-17 11:34:00,24,33,Yes,3,No,Bob
24,Login Issues,Critical,2023-01-05 09:38:00,2023-01-07 02:38:00,24,41,Yes,4,No,Alice
25,Bug/Error,Low,2023-05-15 08:07:00,2023-05-15 20:07:00,48,12,No,2,Yes,Diana
26,Bug/Error,Medium,2023-02-02 15:54:00,2023-02-03 14:54:00,48,23,No,5,No,Alice
27,Bug/Error,Medium,2023-04-09 11:39:00,2023-04-13 01:39:00,48,86,Yes,3,Yes,Bob
28,Payment Problems,Critical,2023-02-04 00:34:00,2023-02-08 05:34:00,24,101,Yes,3,Yes,Diana
29,Bug/Error,Medium,2023-01-01 04:25:00,2023-01-06 03:25:00,48,119,Yes,3,No,Bob
30,Payment Problems,Medium,2023-05-17 14:14:00,2023-05-21 08:14:00,48,90,Yes,2,Yes,Bob
31,Account Management,Medium,2023-05-04 12:50:00,2023-05-07 03:50:00,48,63,Yes,1,No,Bob
32,Bug/Error,Critical,2023-02-21 03:29:00,2023-02-25 08:29:00,24,101,Yes,5,No,Alice
33,Bug/Error,Critical,2023-05-23 10:28:00,2023-05-24 22:28:00,24,36,Yes,5,No,Charlie
34,Bug/Error,High,2023-06-09 06:58:00,2023-06-14 01:58:00,24,115,Yes,4,No,Alice
35,Feature Request,Medium,2023-03-07 09:44:00,2023-03-09 23:44:00,48,62,Yes,1,No,Diana
36,Feature Request,Low,2023-05-14 11:43:00,2023-05-17 23:43:00,48,84,Yes,3,No,Diana
37,Login Issues,Medium,2023-05-08 22:27:00,2023-05-12 15:27:00,48,89,Yes,1,Yes,Bob
38,Payment Problems,Critical,2023-05-09 19:12:00,2023-05-14 04:12:00,24,105,Yes,3,Yes,Alice
39,Feature Request,Medium,2023-04-13 05:07:00,2023-04-14 08:07:00,48,27,No,1,Yes,Alice
40,Account Management,High,2023-03-03 04:32:00,2023-03-05 07:32:00,24,51,Yes,2,Yes,Alice
41,Login Issues,High,2023-06-21 23:14:00,2023-06-24 10:14:00,24,59,Yes,1,No,Bob
42,Payment Problems,Low,2023-06-29 16:48:00,2023-07-02 02:48:00,48,58,Yes,4,Yes,Bob
43,Account Management,Medium,2023-01-12 06:01:00,2023-01-12 09:01:00,48,3,No,1,Yes,Charlie
44,Account Management,High,2023-04-11 16:55:00,2023-04-15 01:55:00,24,81,Yes,3,No,Alice
45,Feature Request,Critical,2023-04-23 01:01:00,2023-04-26 21:01:00,24,92,Yes,5,No,Alice
46,Login Issues,Critical,2023-05-09 18:01:00,2023-05-11 23:01:00,24,53,Yes,4,Yes,Alice
47,Feature Request,Low,2023-06-09 05:31:00,2023-06-14 04:31:00,48,119,Yes,4,Yes,Charlie
48,Feature Request,Critical,2023-05-03 16:37:00,2023-05-04 16:37:00,24,24,No,5,No,Ethan
49,Bug/Error,Low,2023-04-26 01:05:00,2023-04-29 15:05:00,48,86,Yes,3,Yes,Bob
50,Account Management,Medium,2023-05-24 00:08:00,2023-05-26 11:08:00,48,59,Yes,5,Yes,Alice
51,Feature Request,Low,2023-01-03 19:59:00,2023-01-06 06:59:00,48,59,Yes,4,Yes,Ethan
52,Payment Problems,Low,2023-05-27 02:18:00,2023-05-27 22:18:00,48,20,No,4,No,Bob
53,Account Management,High,2023-06-10 07:38:00,2023-06-13 17:38:00,24,82,Yes,1,No,Diana
54,Account Management,Critical,2023-01-11 17:22:00,2023-01-13 00:22:00,24,31,Yes,2,No,Diana
55,Feature Request,Medium,2023-04-09 06:59:00,2023-04-09 22:59:00,48,16,No,2,No,Ethan
56,Feature Request,High,2023-04-22 19:59:00,2023-04-27 12:59:00,24,113,Yes,2,No,Diana
57,Payment Problems,Medium,2023-05-09 15:11:00,2023-05-12 12:11:00,48,69,Yes,5,Yes,Charlie
58,Feature Request,Critical,2023-06-09 22:08:00,2023-06-14 07:08:00,24,105,Yes,3,Yes,Ethan
59,Bug/Error,Critical,2023-05-27 15:15:00,2023-05-27 18:15:00,24,3,No,4,No,Alice
60,Account Management,Critical,2023-06-01 21:55:00,2023-06-03 06:55:00,24,33,Yes,4,Yes,Ethan
61,Bug/Error,Low,2023-03-16 16:07:00,2023-03-18 04:07:00,48,36,No,4,Yes,Diana
62,Login Issues,High,2023-04-22 02:24:00,2023-04-25 23:24:00,24,93,Yes,2,Yes,Charlie
63,Account Management,Low,2023-05-08 13:17:00,2023-05-11 07:17:00,48,66,Yes,3,Yes,Charlie
64,Login Issues,High,2023-06-18 03:32:00,2023-06-20 23:32:00,24,68,Yes,1,No,Charlie
65,Feature Request,High,2023-05-22 20:47:00,2023-05-23 16:47:00,24,20,No,3,Yes,Bob
66,Feature Request,Critical,2023-05-25 00:47:00,2023-05-28 04:47:00,24,76,Yes,3,Yes,Bob
67,Payment Problems,Critical,2023-04-25 21:54:00,2023-04-26 19:54:00,24,22,No,5,Yes,Bob
68,Login Issues,Critical,2023-02-20 21:07:00,2023-02-22 00:07:00,24,27,Yes,3,No,Alice
69,Bug/Error,Low,2023-01-21 00:27:00,2023-01-25 15:27:00,48,111,Yes,1,No,Charlie
70,Bug/Error,Low,2023-03-02 15:18:00,2023-03-02 19:18:00,48,4,No,3,No,Diana
71,Bug/Error,High,2023-02-18 16:43:00,2023-02-22 12:43:00,24,92,Yes,5,Yes,Alice
72,Payment Problems,Low,2023-02-15 20:05:00,2023-02-19 23:05:00,48,99,Yes,4,Yes,Alice
73,Account Management,Medium,2023-02-06 23:28:00,2023-02-11 16:28:00,48,113,Yes,5,No,Alice
74,Payment Problems,Critical,2023-04-05 02:59:00,2023-04-09 03:59:00,24,97,Yes,4,Yes,Alice
75,Account Management,Low,2023-06-09 22:32:00,2023-06-12 17:32:00,48,67,Yes,2,Yes,Ethan
76,Payment Problems,Low,2023-01-25 09:30:00,2023-01-27 15:30:00,48,54,Yes,2,Yes,Diana
77,Feature Request,Medium,2023-03-08 07:45:00,2023-03-09 07:45:00,48,24,No,2,Yes,Diana
78,Bug/Error,High,2023-02-01 14:21:00,2023-02-02 13:21:00,24,23,No,2,Yes,Alice
79,Login Issues,Critical,2023-05-07 09:01:00,2023-05-11 03:01:00,24,90,Yes,1,Yes,Charlie
80,Account Management,Low,2023-04-14 00:08:00,2023-04-15 19:08:00,48,43,No,5,Yes,Alice
81,Login Issues,Low,2023-06-19 22:25:00,2023-06-24 01:25:00,48,99,Yes,2,No,Charlie
82,Payment Problems,Critical,2023-06-02 23:12:00,2023-06-05 11:12:00,24,60,Yes,2,No,Bob
83,Payment Problems,Medium,2023-05-15 03:44:00,2023-05-15 23:44:00,48,20,No,1,Yes,Alice
84,Account Management,Critical,2023-01-08 13:15:00,2023-01-09 03:15:00,24,14,No,4,No,Bob
85,Login Issues,Critical,2023-04-25 22:14:00,2023-04-29 18:14:00,24,92,Yes,2,Yes,Diana
86,Login Issues,Low,2023-03-07 22:21:00,2023-03-10 01:21:00,48,51,Yes,1,No,Ethan
87,Bug/Error,Medium,2023-03-04 21:57:00,2023-03-07 07:57:00,48,58,Yes,1,No,Charlie
88,Feature Request,Medium,2023-06-29 09:05:00,2023-06-30 00:05:00,48,15,No,3,Yes,Ethan
89,Feature Request,Medium,2023-04-11 00:07:00,2023-04-13 05:07:00,48,53,Yes,4,No,Alice
90,Feature Request,High,2023-04-18 04:38:00,2023-04-21 00:38:00,24,68,Yes,5,No,Alice
91,Account Management,Critical,2023-04-26 14:34:00,2023-04-28 21:34:00,24,55,Yes,4,Yes,Charlie
92,Payment Problems,Critical,2023-05-24 12:49:00,2023-05-28 22:49:00,24,106,Yes,3,Yes,Charlie
93,Payment Problems,Critical,2023-05-25 23:18:00,2023-05-29 19:18:00,24,92,Yes,2,Yes,Bob
94,Account Management,High,2023-03-31 04:25:00,2023-04-05 01:25:00,24,117,Yes,1,No,Diana
95,Bug/Error,Medium,2023-05-20 20:00:00,2023-05-23 06:00:00,48,58,Yes,2,No,Alice
96,Login Issues,Critical,2023-01-01 14:33:00,2023-01-05 14:33:00,24,96,Yes,1,No,Bob
97,Bug/Error,Critical,2023-04-27 00:15:00,2023-04-29 13:15:00,24,61,Yes,5,No,Bob
98,Bug/Error,High,2023-01-22 22:02:00,2023-01-26 02:02:00,24,76,Yes,2,No,Diana
99,Payment Problems,Critical,2023-05-24 18:36:00,2023-05-28 08:36:00,24,86,Yes,1,Yes,Diana
100,Account Management,Medium,2023-01-29 13:27:00,2023-02-01 10:27:00,48,69,Yes,1,No,Bob
101,Bug/Error,Medium,2023-04-04 13:51:00,2023-04-07 10:51:00,48,69,Yes,4,Yes,Ethan
102,Payment Problems,Medium,2023-05-24 15:20:00,2023-05-26 06:20:00,48,39,No,4,Yes,Charlie
103,Login Issues,Low,2023-02-02 04:22:00,2023-02-02 14:22:00,48,10,No,5,Yes,Diana
104,Payment Problems,Critical,2023-04-10 01:51:00,2023-04-14 00:51:00,24,95,Yes,2,Yes,Diana
105,Payment Problems,Low,2023-05-27 00:55:00,2023-05-29 21:55:00,48,69,Yes,5,No,Diana
106,Account Management,Critical,2023-01-04 15:23:00,2023-01-07 23:23:00,24,80,Yes,2,No,Diana
107,Feature Request,High,2023-05-08 19:23:00,2023-05-09 07:23:00,24,12,No,2,No,Bob
108,Bug/Error,Low,2023-06-12 00:32:00,2023-06-14 13:32:00,48,61,Yes,3,Yes,Bob
109,Bug/Error,Medium,2023-06-20 04:11:00,2023-06-22 23:11:00,48,67,Yes,1,No,Charlie
110,Login Issues,High,2023-06-10 07:09:00,2023-06-12 02:09:00,24,43,Yes,4,Yes,Charlie
111,Bug/Error,High,2023-01-29 12:11:00,2023-02-02 11:11:00,24,95,Yes,2,Yes,Bob
112,Login Issues,High,2023-02-04 22:16:00,2023-02-08 16:16:00,24,90,Yes,5,Yes,Charlie
113,Login Issues,Low,2023-06-03 09:25:00,2023-06-04 19:25:00,48,34,No,3,No,Bob
114,Feature Request,Low,2023-04-15 06:03:00,2023-04-17 16:03:00,48,58,Yes,5,Yes,Diana
115,Payment Problems,High,2023-04-24 12:10:00,2023-04-25 17:10:00,24,29,Yes,4,No,Bob
116,Account Management,Critical,2023-01-21 03:09:00,2023-01-25 08:09:00,24,101,Yes,1,No,Bob
117,Payment Problems,High,2023-06-01 02:48:00,2023-06-05 05:48:00,24,99,Yes,4,Yes,Diana
118,Account Management,High,2023-04-06 23:22:00,2023-04-09 13:22:00,24,62,Yes,5,No,Alice
119,Payment Problems,Critical,2023-01-12 16:54:00,2023-01-13 05:54:00,24,13,No,1,Yes,Diana
120,Feature Request,High,2023-04-09 08:29:00,2023-04-10 01:29:00,24,17,No,1,Yes,Bob
121,Account Management,Critical,2023-03-03 19:47:00,2023-03-07 12:47:00,24,89,Yes,5,Yes,Diana
122,Account Management,High,2023-01-19 16:35:00,2023-01-20 04:35:00,24,12,No,5,No,Alice
123,Login Issues,High,2023-05-27 11:08:00,2023-05-30 10:08:00,24,71,Yes,4,Yes,Alice
124,Account Management,Medium,2023-05-08 19:18:00,2023-05-13 10:18:00,48,111,Yes,5,No,Charlie
125,Payment Problems,Medium,2023-03-10 02:11:00,2023-03-11 03:11:00,48,25,No,4,Yes,Diana
126,Feature Request,Critical,2023-05-03 20:35:00,2023-05-06 01:35:00,24,53,Yes,1,No,Charlie
127,Login Issues,Medium,2023-02-08 12:52:00,2023-02-10 06:52:00,48,42,No,2,No,Diana
128,Bug/Error,High,2023-06-16 13:30:00,2023-06-16 18:30:00,24,5,No,3,Yes,Diana
129,Account Management,Medium,2023-03-16 17:46:00,2023-03-19 21:46:00,48,76,Yes,1,Yes,Ethan
130,Login Issues,Medium,2023-03-15 11:16:00,2023-03-19 17:16:00,48,102,Yes,5,No,Charlie
131,Bug/Error,High,2023-06-17 09:08:00,2023-06-19 11:08:00,24,50,Yes,3,No,Bob
132,Bug/Error,Critical,2023-05-02 01:04:00,2023-05-03 06:04:00,24,29,Yes,5,Yes,Diana
133,Feature Request,Critical,2023-06-15 18:07:00,2023-06-20 10:07:00,24,112,Yes,5,Yes,Ethan
134,Login Issues,Low,2023-03-06 21:51:00,2023-03-07 14:51:00,48,17,No,1,No,Diana
135,Feature Request,High,2023-02-14 03:35:00,2023-02-17 01:35:00,24,70,Yes,4,No,Bob
136,Feature Request,Critical,2023-06-08 18:43:00,2023-06-11 00:43:00,24,54,Yes,3,Yes,Charlie
137,Login Issues,Low,2023-03-31 18:38:00,2023-04-03 13:38:00,48,67,Yes,5,Yes,Charlie
138,Payment Problems,Medium,2023-05-21 17:27:00,2023-05-24 03:27:00,48,58,Yes,4,No,Alice
139,Payment Problems,Critical,2023-03-02 08:38:00,2023-03-02 09:38:00,24,1,No,3,No,Ethan
140,Login Issues,Low,2023-04-02 16:24:00,2023-04-05 00:24:00,48,56,Yes,1,Yes,Alice
141,Login Issues,Medium,2023-06-15 20:05:00,2023-06-18 06:05:00,48,58,Yes,4,No,Ethan
142,Login Issues,Low,2023-06-22 12:46:00,2023-06-23 09:46:00,48,21,No,5,Yes,Charlie
143,Payment Problems,Critical,2023-06-13 02:18:00,2023-06-13 22:18:00,24,20,No,1,Yes,Alice
144,Payment Problems,Low,2023-05-26 14:40:00,2023-05-28 15:40:00,48,49,Yes,1,Yes,Charlie
145,Account Management,Critical,2023-04-27 21:53:00,2023-04-28 00:53:00,24,3,No,1,No,Bob
146,Account Management,Medium,2023-01-12 09:31:00,2023-01-13 01:31:00,48,16,No,4,No,Bob
147,Feature Request,Low,2023-06-01 20:07:00,2023-06-05 16:07:00,48,92,Yes,4,Yes,Charlie
148,Payment Problems,Critical,2023-03-31 07:57:00,2023-04-02 19:57:00,24,60,Yes,2,No,Bob
149,Login Issues,Critical,2023-01-28 04:40:00,2023-02-01 08:40:00,24,100,Yes,3,No,Bob
150,Login Issues,Medium,2023-05-25 08:32:00,2023-05-30 05:32:00,48,117,Yes,4,No,Diana
151,Feature Request,Low,2023-06-06 12:45:00,2023-06-07 23:45:00,48,35,No,5,No,Bob
152,Payment Problems,Medium,2023-05-14 17:50:00,2023-05-17 14:50:00,48,69,Yes,1,Yes,Alice
153,Feature Request,Medium,2023-01-10 23:29:00,2023-01-15 17:29:00,48,114,Yes,3,Yes,Bob
154,Feature Request,Critical,2023-04-19 04:54:00,2023-04-20 13:54:00,24,33,Yes,1,Yes,Ethan
155,Login Issues,Medium,2023-05-26 14:48:00,2023-05-27 01:48:00,48,11,No,5,Yes,Bob
156,Feature Request,High,2023-01-26 21:58:00,2023-01-28 00:58:00,24,27,Yes,1,No,Diana
157,Feature Request,Critical,2023-06-10 01:40:00,2023-06-14 04:40:00,24,99,Yes,1,Yes,Ethan
158,Login Issues,Medium,2023-05-29 15:54:00,2023-05-29 21:54:00,48,6,No,4,No,Ethan
159,Bug/Error,Medium,2023-04-05 04:37:00,2023-04-05 07:37:00,48,3,No,5,No,Diana
160,Login Issues,High,2023-01-23 04:52:00,2023-01-24 17:52:00,24,37,Yes,2,No,Charlie
161,Login Issues,Medium,2023-03-24 16:20:00,2023-03-27 22:20:00,48,78,Yes,1,No,Ethan
162,Login Issues,High,2023-04-20 00:50:00,2023-04-21 21:50:00,24,45,Yes,5,Yes,Charlie
163,Feature Request,High,2023-01-04 00:48:00,2023-01-08 08:48:00,24,104,Yes,2,Yes,Charlie
164,Login Issues,Medium,2023-04-02 07:38:00,2023-04-03 09:38:00,48,26,No,2,Yes,Charlie
165,Payment Problems,High,2023-06-11 21:53:00,2023-06-12 00:53:00,24,3,No,3,No,Charlie
166,Account Management,Low,2023-02-19 11:00:00,2023-02-21 17:00:00,48,54,Yes,4,No,Alice
167,Bug/Error,Low,2023-05-13 16:47:00,2023-05-15 15:47:00,48,47,No,5,No,Charlie
168,Bug/Error,Medium,2023-03-26 13:01:00,2023-03-29 16:01:00,48,75,Yes,3,Yes,Charlie
169,Payment Problems,Low,2023-04-13 05:59:00,2023-04-17 07:59:00,48,98,Yes,2,No,Ethan
170,Payment Problems,High,2023-04-08 17:29:00,2023-04-12 00:29:00,24,79,Yes,3,No,Alice
171,Account Management,Low,2023-06-28 01:51:00,2023-06-29 15:51:00,48,38,No,1,Yes,Ethan
172,Payment Problems,Medium,2023-03-20 22:41:00,2023-03-23 01:41:00,48,51,Yes,1,No,Alice
173,Login Issues,High,2023-05-13 03:09:00,2023-05-15 11:09:00,24,56,Yes,1,Yes,Diana
174,Login Issues,High,2023-03-15 16:59:00,2023-03-19 04:59:00,24,84,Yes,5,Yes,Alice
175,Login Issues,Low,2023-02-03 05:52:00,2023-02-05 23:52:00,48,66,Yes,5,Yes,Bob
176,Payment Problems,High,2023-05-06 10:42:00,2023-05-11 02:42:00,24,112,Yes,3,No,Bob
177,Feature Request,Critical,2023-04-25 14:56:00,2023-04-26 13:56:00,24,23,No,3,No,Diana
178,Account Management,Medium,2023-04-28 15:07:00,2023-04-28 19:07:00,48,4,No,4,Yes,Alice
179,Bug/Error,Medium,2023-01-25 02:31:00,2023-01-27 21:31:00,48,67,Yes,3,No,Charlie
180,Feature Request,Critical,2023-04-03 17:57:00,2023-04-05 20:57:00,24,51,Yes,3,No,Diana
181,Account Management,Low,2023-01-21 04:17:00,2023-01-25 00:17:00,48,92,Yes,2,Yes,Ethan
182,Login Issues,Low,2023-03-02 21:20:00,2023-03-05 19:20:00,48,70,Yes,1,No,Bob
183,Login Issues,Medium,2023-05-13 08:11:00,2023-05-17 02:11:00,48,90,Yes,2,Yes,Alice
184,Account Management,Low,2023-06-26 13:25:00,2023-06-28 10:25:00,48,45,No,3,No,Charlie
185,Account Management,Low,2023-03-14 14:56:00,2023-03-18 04:56:00,48,86,Yes,3,No,Diana
186,Payment Problems,Low,2023-03-04 15:16:00,2023-03-05 17:16:00,48,26,No,4,No,Alice
187,Payment Problems,Critical,2023-01-01 07:48:00,2023-01-05 10:48:00,24,99,Yes,5,Yes,Alice
188,Feature Request,High,2023-06-29 14:46:00,2023-07-01 22:46:00,24,56,Yes,2,No,Diana
189,Account Management,High,2023-01-28 22:13:00,2023-02-01 14:13:00,24,88,Yes,2,Yes,Diana
190,Payment Problems,High,2023-04-19 13:58:00,2023-04-21 21:58:00,24,56,Yes,3,No,Diana
191,Bug/Error,Low,2023-01-07 02:46:00,2023-01-08 01:46:00,48,23,No,3,No,Bob
192,Payment Problems,Low,2023-01-18 05:34:00,2023-01-23 00:34:00,48,115,Yes,1,Yes,Ethan
193,Feature Request,Low,2023-04-29 04:27:00,2023-05-02 06:27:00,48,74,Yes,1,No,Ethan
194,Payment Problems,High,2023-01-17 06:21:00,2023-01-21 00:21:00,24,90,Yes,4,No,Diana
195,Account Management,Critical,2023-01-25 16:12:00,2023-01-29 04:12:00,24,84,Yes,1,No,Diana
196,Payment Problems,Low,2023-03-09 09:02:00,2023-03-13 18:02:00,48,105,Yes,5,Yes,Diana
197,Payment Problems,Critical,2023-05-26 14:35:00,2023-05-31 05:35:00,24,111,Yes,2,No,Diana
198,Payment Problems,Medium,2023-04-21 07:39:00,2023-04-26 00:39:00,48,113,Yes,4,No,Ethan
199,Bug/Error,Critical,2023-03-24 09:40:00,2023-03-28 14:40:00,24,101,Yes,4,No,Bob
200,Login Issues,High,2023-01-26 01:58:00,2023-01-28 09:58:00,24,56,Yes,3,Yes,Alice
